Scenario,Seed,N_Samples,Sample_Success,RR(%),Total_Paths,Success_Paths,Imm_Violation_Paths,VR(%),Cau_Violation_Paths,Causal_VR(%),Action_Violation_Paths,Action_VR(%),Pathway_Reliable_RR(%),Borrower_Reliable_RR(%),Avg_Features_Changed
Scenario_A,42,1139,1139,100.0,4556,4556,4017,88.17,443,9.72,1475,32.37,7.22,4.3,2.04
Scenario_B,42,1139,693,60.84,2613,2613,0,0.0,775,29.66,2335,89.36,7.48,10.27,3.74
Scenario_C,42,1139,122,10.71,480,480,0,0.0,205,42.71,0,0.0,57.29,8.87,2.02
Scenario_A,123,1162,1162,100.0,4648,4648,4466,96.08,426,9.17,1578,33.95,2.35,3.44,2.76
Scenario_B,123,1162,357,30.72,1328,1328,0,0.0,307,23.12,1011,76.13,18.35,8.78,2.98
Scenario_C,123,1162,95,8.18,370,370,0,0.0,151,40.81,0,0.0,59.19,7.06,1.89
Scenario_A,456,1136,1136,100.0,4544,4544,4334,95.38,500,11.0,920,20.25,3.28,4.84,2.01
Scenario_B,456,1136,592,52.11,2131,2131,0,0.0,357,16.75,1824,85.59,11.99,10.65,3.58
Scenario_C,456,1136,109,9.6,432,432,0,0.0,196,45.37,0,0.0,54.63,7.92,2.09
Scenario_A,789,1188,1188,100.0,4752,4752,4483,94.34,329,6.92,1412,29.71,3.7,5.98,2.48
Scenario_B,789,1188,655,55.13,2177,2177,0,0.0,389,17.87,1762,80.94,15.66,13.64,3.11
Scenario_C,789,1188,182,15.32,711,711,0,0.0,291,40.93,0,0.0,59.07,13.05,1.96
Scenario_A,2024,1204,1204,100.0,4816,4816,4511,93.67,537,11.15,1499,31.13,3.88,5.15,3.09
Scenario_B,2024,1204,471,39.12,1737,1737,0,0.0,537,30.92,1324,76.22,16.43,11.71,3.71
Scenario_C,2024,1204,108,8.97,425,425,0,0.0,167,39.29,0,0.0,60.71,7.48,1.98
