Scenario,Seed,N_Samples,Sample_Success,RR(%),Total_Paths,Success_Paths,Imm_Violation_Paths,VR(%),Cau_Violation_Paths,Causal_VR(%),Action_Violation_Paths,Action_VR(%),Pathway_Reliable_RR(%),Borrower_Reliable_RR(%),Avg_Features_Changed
Scenario_A,42,59,59,100.0,236,236,51,21.61,0,0.0,83,35.17,50.82,96.61,1.88
Scenario_B,42,59,59,100.0,236,236,0,0.0,2,0.85,103,43.64,55.88,98.31,1.72
Scenario_C,42,59,52,88.14,207,207,0,0.0,17,8.21,0,0.0,91.79,88.14,2.0
Scenario_A,123,50,50,100.0,200,200,51,25.5,1,0.5,64,32.0,50.41,100.0,1.86
Scenario_B,123,50,50,100.0,200,200,0,0.0,0,0.0,83,41.5,58.5,98.0,1.84
Scenario_C,123,50,36,72.0,142,142,0,0.0,24,16.9,0,0.0,83.1,72.0,2.1
Scenario_A,456,48,48,100.0,192,192,46,23.96,2,1.04,71,36.98,47.42,83.33,1.83
Scenario_B,456,48,48,100.0,192,192,0,0.0,2,1.04,84,43.75,55.66,91.67,1.78
Scenario_C,456,48,33,68.75,130,130,0,0.0,22,16.92,0,0.0,83.08,62.5,2.05
Scenario_A,789,45,45,100.0,180,180,49,27.22,0,0.0,60,33.33,48.52,93.33,1.84
Scenario_B,789,45,45,100.0,180,180,0,0.0,2,1.11,70,38.89,60.43,97.78,1.86
Scenario_C,789,45,25,55.56,99,99,0,0.0,19,19.19,0,0.0,80.81,53.33,2.27
Scenario_A,2024,43,43,100.0,172,172,45,26.16,0,0.0,52,30.23,51.51,93.02,1.77
Scenario_B,2024,43,43,100.0,172,172,0,0.0,1,0.58,65,37.79,61.85,95.35,1.75
Scenario_C,2024,43,37,86.05,147,147,0,0.0,32,21.77,0,0.0,78.23,83.72,2.0
